"scan_id","frame_id","resolved_source_file","localization_image","lateral_method","lateral_threshold_sigma","top_method","coordinate_convention","coarse_method","coarse_valid","coarse_invalid_reason","coarse_surface_z_center_px","coarse_surface_to_vessel_top_um","coarse_effective_refractive_index","coarse_predicted_z_top_center_px","coarse_x_anchor_center_px","coarse_search_z_start_px","coarse_search_z_stop_px","coarse_peak_score","coarse_background_score","coarse_background_sigma","coarse_peak_cnr","lateral_valid","lateral_invalid_reason","lateral_x_anchor_center_px","lateral_x_left_center_px","lateral_x_right_center_px","lateral_x1_local_geometry_center_px","lateral_fallback","lateral_run_width_px","lateral_expected_lateral_width_px","lateral_local_background","lateral_local_sigma","lateral_peak_cnr","lateral_axial_completeness","top_valid","top_invalid_reason","top_z_anchor_center_px","top_z_top_center_px","top_fallback","top_local_background","top_local_sigma","top_peak_cnr","source_qc_valid","x_left_edge_px","x_right_edge_px","z_top_edge_px","diameter_um","dx_um","dz_um","z_bottom_edge_px"
"flow01","flow01_Bscan000","../local_interim/flow01_b0001.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","231.0","203","239","1.4724196283417936","0.3285175694201707","0.0871167278320199","13.13068210191866","True","ok","231.0","225","233","229.0","False","9","10","5911.700724993273","1141.0481084828502","15.833645416150805","0.5789473684210527","True","ok","209.43283582089552","215.0","False","5454.978791120248","1466.684247580153","11.517688300478875","True","224.5","233.5","214.5","128.0","12.7","6.7","233.6044776119403"
"flow01","flow01_Bscan249","../local_interim/flow01_b0250.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","240.0","203","239","1.5981042529124085","0.30348329024740783","0.029902991558961946","43.29402829520587","True","ok","240.0","234","246","240.0","False","13","10","5574.980558866833","1035.8751662798263","14.48396416436108","0.9473684210526315","True","ok","209.43283582089552","200.0","False","4385.02676544323","1345.4999402042038","18.53528510053687","True","233.5","246.5","199.5","128.0","12.7","6.7","218.6044776119403"
"flow01","flow01_Bscan499","../local_interim/flow01_b0500.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","249.0","203","239","1.3063377430625844","0.2988116936220518","0.0721741539658259","13.959651676936751","True","ok","249.0","243","255","249.0","False","13","10","6630.550358148274","1283.5055967269075","7.255536133477518","0.5789473684210527","True","ok","209.43283582089552","206.0","False","8085.985783942208","3372.9815803274187","4.734415828578723","True","242.5","255.5","205.5","128.0","12.7","6.7","224.6044776119403"
"flow03","flow03_Bscan000","../local_interim/flow03_b0001.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","234.0","203","239","1.3850175819190775","0.3279965589067181","0.06543467416285613","16.153836425953738","True","ok","234.0","228","241","234.5","False","14","10","6299.767249988576","559.0805365283859","28.788385483826932","0.8421052631578947","True","ok","209.43283582089552","213.0","False","5921.317810150678","1409.9161321640995","11.1940429748503","True","227.5","241.5","212.5","128.0","12.7","6.7","231.6044776119403"
"flow03","flow03_Bscan249","../local_interim/flow03_b0250.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","244.0","203","239","1.3410265024081136","0.31550176727853496","0.03628719172419644","28.261341988769956","True","ok","244.0","239","250","244.5","False","12","10","5525.710016044637","831.4648819941004","10.612566036573993","0.5789473684210527","True","ok","209.43283582089552","200.0","False","8984.212432801643","5124.788666102325","2.2317037779119415","True","238.5","250.5","199.5","128.0","12.7","6.7","218.6044776119403"
"flow03","flow03_Bscan499","../local_interim/flow03_b0500.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","245.0","203","239","1.3493124340381397","0.33240634006542696","0.08173687727451293","12.441215371581158","True","ok","245.0","240","250","245.0","False","11","10","5534.603752414854","655.5560119583831","19.344016553326576","0.8421052631578947","True","ok","209.43283582089552","200.0","False","3845.231701424754","673.8637239009121","47.23390166063754","True","239.5","250.5","199.5","128.0","12.7","6.7","218.6044776119403"
"flow05","flow05_Bscan000","../local_interim/flow05_b0001.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","234.0","203","239","1.4183309241562334","0.3112514781260599","0.07206719273010567","15.361767318677547","True","ok","234.0","227","241","234.0","False","15","10","5149.649419195146","786.4829502284593","21.721052995792512","0.8947368421052632","True","ok","209.43283582089552","214.0","False","5121.338322683877","3353.3581938247858","5.92207735381245","True","226.5","241.5","213.5","128.0","12.7","6.7","232.6044776119403"
"flow05","flow05_Bscan249","../local_interim/flow05_b0250.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","242.0","203","239","1.3940837037847102","0.31543871321834843","0.03240746978945614","33.28383849692894","True","ok","242.0","236","247","241.5","False","12","10","5944.736199174413","891.5840501301228","15.786390606689638","0.6842105263157895","True","ok","209.43283582089552","200.0","False","2772.674621811296","678.6207583305127","32.996099659505205","True","235.5","247.5","199.5","128.0","12.7","6.7","218.6044776119403"
"flow05","flow05_Bscan499","../local_interim/flow05_b0500.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","247.0","203","239","1.2343166231865927","0.30676677620761605","0.07313094032117819","12.683412012827148","True","ok","247.0","241","255","248.0","False","15","10","6032.850392717211","726.2587575770403","13.50532924707304","0.631578947368421","True","ok","209.43283582089552","208.0","False","6732.265305562242","3643.233005820333","3.201630571721414","True","240.5","255.5","207.5","128.0","12.7","6.7","226.6044776119403"
"flow07","flow07_Bscan000","../local_interim/flow07_b0001.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","230.0","203","239","1.182762998370022","0.33508185175308824","0.07529499626093386","11.258133856323008","True","ok","230.0","224","233","228.5","False","10","10","5425.630314701261","1030.2845370131536","15.176418482435468","0.5789473684210527","True","no_sustained_top_edge","209.43283582089552","209.0","True","5083.090250247195","3045.682957400684","2.3705670391523905","False","223.5","233.5","208.5","128.0","12.7","6.7","227.6044776119403"
"flow07","flow07_Bscan249","../local_interim/flow07_b0250.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","238.0","203","239","1.4926303161814642","0.31612998789476","0.047453676996131226","24.79260623750234","True","ok","238.0","233","243","238.0","False","11","10","5808.048182537141","763.0600136531698","16.44808994505142","0.8947368421052632","True","ok","209.43283582089552","210.0","False","5366.922823767901","2632.2525324336216","6.280408097316025","True","232.5","243.5","209.5","128.0","12.7","6.7","228.6044776119403"
"flow07","flow07_Bscan499","../local_interim/flow07_b0500.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","247.0","203","239","1.3009809614817573","0.3017338804664978","0.06578658048876748","15.189223601398051","True","ok","247.0","242","252","247.0","False","11","10","5957.372165660811","1286.2556657349605","8.238758695412102","0.631578947368421","True","ok","209.43283582089552","205.0","False","5708.88412343668","3689.9527037975463","5.10469185357035","True","241.5","252.5","204.5","128.0","12.7","6.7","223.6044776119403"
"flow10","flow10_Bscan000","../local_interim/flow10_b0001.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","236.0","203","239","1.4432058744225724","0.32182928451199677","0.055529670575325284","20.194187689074127","True","ok","236.0","230","241","235.5","False","12","10","5466.839353811216","427.2447169344463","45.04949295222424","0.631578947368421","True","ok","209.43283582089552","214.0","False","3905.242275664373","1126.7409400096283","19.305145879109688","True","229.5","241.5","213.5","128.0","12.7","6.7","232.6044776119403"
"flow10","flow10_Bscan249","../local_interim/flow10_b0250.mat","omag_raw","mentor_X1_local_q75_continuous_run","1.5","X1_centreline_three_column_sustained_edge","zero_based_pixel_centres","fixed_surface_global_log_omag_mad","True","ok","176.0","200.0","1.12","209.43283582089552","242.0","203","239","1.6436746687506334","0.31944724664041896","0.03207993648861928","41.278991390148136","True","ok","242.0","237","247","242.0","False","11","10","5717.896218925363","1363.4805441902204","8.621884959354762","0.8421052631578947","True","ok","209.43283582089552","214.0","False","5640.617671900112","4628.38888849988","5.516672767918317","True","236.5","247.5","213.5","128.0","12.7","6.7","232.6044776119403"
