scan_id,z_index_0based,z_um,r_um,distance_from_vessel_bottom_um,V,B_left,B_right,B,B_standard_deviation,B_median_diagnostic,B_scaled_mad_diagnostic,background_mode,T,P,tail_z_fraction,background_left_valid_count,background_right_valid_count,region,validity,frame_id,bscan_index,flow_speed_mm_s
flow05,0,0.0,-1518.25,-1518.25,6591740.30817248,16551826.7876946,8419838.842474546,12485832.815084573,9621283.628316836,9473810.830004683,3248851.6364599154,bilateral,-5894092.506912093,-1122824622.5667536,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,1,6.7,-1511.55,-1511.55,7438432.625324657,11513551.32792868,6999352.492874682,9256451.910401681,6176712.269391712,8561349.792406972,5344911.759321995,bilateral,-1818019.2850770243,-346332673.80717295,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,2,13.4,-1504.8500000000001,-1504.8500000000001,6367032.503890327,13301882.971339937,1943687.2794147036,7622785.12537732,8561386.11273409,2790151.3831215734,2433674.3145229486,bilateral,-1255752.6214869926,-239220874.39327213,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,3,20.1,-1498.15,-1498.15,9298954.381475305,7564199.334908361,2978490.5999792865,5271344.967443824,4258013.209764721,4461911.719687574,4231980.877921385,bilateral,4027609.4140314814,767259593.3729974,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,4,26.8,-1491.45,-1491.45,7091404.191779706,5184419.840620595,6353760.621114238,5769090.2308674175,4779388.700308931,3717851.2156531448,3627177.520939573,bilateral,1322313.9609122882,251900809.5537909,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,5,33.5,-1484.75,-1484.75,11166140.417137045,5855866.475371601,8026706.384069977,6941286.429720787,5612224.227211455,4860833.331535924,4213125.022258951,bilateral,4224853.987416258,804834684.602797,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,6,40.2,-1478.05,-1478.05,8806087.680046445,4647791.8026914485,9306726.669565367,6977259.2361284075,5803913.918256526,4941258.96322507,3780697.56124567,bilateral,1828828.4439180372,348391818.5663863,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,7,46.9,-1471.3500000000001,-1471.3500000000001,8564096.218952877,5611786.565550108,12775589.425904082,9193687.995727096,10767324.977235604,5994411.556355692,3400687.105288013,bilateral,-629591.7767742183,-119937233.47548851,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,8,53.6,-1464.65,-1464.65,6718149.766339375,5272509.548782824,6699134.090134834,5985821.819458829,5498933.9534379095,3625733.003391958,3417646.5448537874,bilateral,732327.9468805455,139508473.88074404,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,9,60.300000000000004,-1457.95,-1457.95,10343134.938741172,11636953.430534286,2535617.8463847595,7086285.638459524,7551802.370020683,3343907.2456002124,3406930.968771468,bilateral,3256849.3002816476,620429791.7036535,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,10,67.0,-1451.25,-1451.25,7095063.5727478545,6200300.161043091,6872739.80611403,6536519.983578561,4475963.074209843,6398629.368630853,6014404.771551982,bilateral,558543.5891692936,106402553.7367506,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,11,73.7,-1444.55,-1444.55,3154569.574545532,4774739.387052577,11466751.82374435,8120745.605398464,6834902.561984392,5404735.205691278,4568057.457417576,bilateral,-4966176.0308529325,-946056533.8774835,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,12,80.4,-1437.8500000000001,-1437.8500000000001,4146150.5860591335,3068156.2159694,7158401.671615267,5113278.943792334,4303702.924393187,4762122.306396848,2253234.234218264,bilateral,-967128.3577332003,-184237952.14817458,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,13,87.10000000000001,-1431.15,-1431.15,6664437.302911738,10573889.29246915,6951229.434450785,8762559.363459967,6830214.026624988,8479056.974406157,8112550.295130213,bilateral,-2098122.060548229,-399692252.53443754,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,14,93.8,-1424.45,-1424.45,3815969.2898813765,11103640.026176963,5605638.426260553,8354639.226218758,8306588.248881504,4026378.362612428,4162084.5145734036,bilateral,-4538669.936337382,-864616622.8722713,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,15,100.5,-1417.75,-1417.75,5547841.391572918,8809677.961214826,6949264.340190299,7879471.150702561,5940087.861870554,7060973.822431836,5894725.708721985,bilateral,-2331629.7591296434,-444175469.1141971,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,16,107.2,-1411.05,-1411.05,6078645.971818942,8598769.161623305,5929656.951784246,7264213.056703774,5964547.078093071,5694093.742970243,3912859.213589545,bilateral,-1185567.0848848326,-225850529.6705606,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,17,113.9,-1404.3500000000001,-1404.3500000000001,4884804.4882160695,6179800.11951591,4047614.621239113,5113707.370377513,4632043.420066025,3770982.5330222743,4687954.108830248,bilateral,-228902.88216144312,-43605999.05175493,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,18,120.60000000000001,-1397.65,-1397.65,4795426.742299036,4748446.646284563,7517445.556428542,6132946.101356551,5638399.670796969,5392787.772636341,4818337.364077016,bilateral,-1337519.359057515,-254797437.90045646,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,19,127.3,-1390.95,-1390.95,7406151.928995804,16270524.009216666,9208296.696153667,12739410.352685168,11053165.067976026,9416100.591691744,4018360.4741204474,bilateral,-5333258.423689364,-1015985729.7128239,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,20,134.0,-1384.25,-1384.25,4425635.170109355,6394850.7450315105,3442821.8747404865,4918836.309885997,4949031.476259097,3613685.191897225,4213498.07822512,bilateral,-493201.13977664243,-93954817.12745047,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,21,140.70000000000002,-1377.55,-1377.55,5565925.54946635,8452908.62764204,3357422.891186769,5905165.759414405,5570521.971215893,4617759.915138861,4233520.367302715,bilateral,-339240.2099480545,-64625259.99510437,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,22,147.4,-1370.8500000000001,-1370.8500000000001,7052190.5104748,6726389.489607757,958971.3918197876,3842680.440713773,3241348.4372368646,2991539.460663707,3285980.210667727,bilateral,3209510.069761027,611411668.2894756,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,23,154.1,-1364.15,-1364.15,4145429.2882079775,6476027.255899085,7340330.214203511,6908178.735051299,3754580.631553635,6233841.111880555,4825876.97653629,bilateral,-2762749.446843322,-526303769.62365276,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,24,160.8,-1357.45,-1357.45,6973567.442762058,7304851.472024706,6046261.737288768,6675556.604656737,4833024.878980961,5837209.337499208,4915583.812880411,bilateral,298010.83810532093,56771064.6590633,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,25,167.5,-1350.75,-1350.75,3014130.349651547,5053560.738842426,7317620.472418962,6185590.605630695,4967463.503831895,4478680.155079085,3446287.2265678165,bilateral,-3171460.2559791477,-604163178.7640276,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,26,174.20000000000002,-1344.05,-1344.05,8169804.896100654,7107700.515904295,6022845.976824028,6565273.246364161,6260987.412248271,4400840.3616554355,4904380.326402049,bilateral,1604531.649736493,305663279.2748018,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,27,180.9,-1337.3500000000001,-1337.3500000000001,7011493.49428947,9866065.89838768,2942013.0866106236,6404039.492499152,6644403.505936295,4076031.996129659,2112701.097509528,bilateral,607454.0017903177,115719987.34105536,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,28,187.6,-1330.65,-1330.65,9533207.24885269,9205193.550117116,4158566.367253563,6681879.958685339,5823326.803630198,4532959.933631539,4770407.766010274,bilateral,2851327.2901673513,543177848.7768797,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,29,194.3,-1323.95,-1323.95,5622902.143358413,6101181.381495022,5650871.142385162,5876026.261940093,4774300.907615944,5702812.232658402,6261290.7238163315,bilateral,-253124.11858167965,-48220144.58980983,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,30,201.0,-1317.25,-1317.25,6211964.040806311,7994373.304804358,2611981.2098018127,5303177.257303085,6304743.741333422,1451867.293712996,1583344.4571908975,bilateral,908786.783503226,173123882.25736478,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,31,207.70000000000002,-1310.55,-1310.55,10203690.208792903,8634313.403575804,7610313.026975127,8122313.215275465,7163094.1681508,6475900.405041181,7497163.414975736,bilateral,2081376.993517438,396502317.2650719,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,32,214.4,-1303.8500000000001,-1303.8500000000001,4082103.889997391,8894792.14243399,4703598.061418611,6799195.101926299,4919448.867215623,4462894.599651977,2134925.5634112773,bilateral,-2717091.211928908,-517605875.87245685,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,33,221.1,-1297.15,-1297.15,4223746.225194984,5922824.757950599,6268718.2171294745,6095771.487540036,7497443.57319955,2905409.4972234517,2429009.4342445927,bilateral,-1872025.2623450523,-356620812.47673255,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,34,227.8,-1290.45,-1290.45,6175888.693252843,6625449.0796937095,6912793.3334147055,6769121.206554209,5222550.43741872,4943499.9427165715,1643493.7272874392,bilateral,-593232.513301366,-113010793.78391027,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,35,234.5,-1283.75,-1283.75,6545462.693146351,6091921.345988847,5705087.258605851,5898504.302297349,2669393.0549713783,6311636.028837705,2879456.418393946,bilateral,646958.3908490017,123245573.45673487,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,36,241.20000000000002,-1277.05,-1277.05,3831608.5710561476,13060732.950943027,1905408.2700638254,7483070.610503426,10421389.08937546,3241220.040497979,3561196.597552757,bilateral,-3651462.0394472783,-695603518.5147066,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,37,247.9,-1270.35,-1270.35,6489691.783537839,4822089.534637247,4318348.551759876,4570219.043198561,5080503.380260884,1596125.5703693077,1633366.6597910428,bilateral,1919472.7403392773,365659557.0346321,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,38,254.6,-1263.65,-1263.65,6962919.091316412,6535155.900128739,6228982.869101845,6382069.384615293,4800159.388649776,4293240.143726012,3479180.8105779896,bilateral,580849.7067011194,110651869.12656303,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,39,261.3,-1256.95,-1256.95,6436946.295315756,8551304.582447033,5808601.413958912,7179952.998202974,3817404.7557085827,8070440.976351658,4796365.088502849,bilateral,-743006.7028872175,-141542776.900015,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,40,268.0,-1250.25,-1250.25,3426607.9480667654,5825727.67781567,5092694.437224994,5459211.057520334,4828818.875249154,4748620.935025617,6192741.542404865,bilateral,-2032603.1094535682,-387210892.3509046,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,41,274.7,-1243.55,-1243.55,2772969.394647947,12571679.109479807,3605850.64174649,8088764.875613148,7412327.007717714,6795679.149031129,4970877.656047397,bilateral,-5315795.480965201,-1012659039.123871,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,42,281.40000000000003,-1236.85,-1236.85,7434580.644370271,6032897.201524941,3621802.951996737,4827350.076760838,4433229.775334111,3283608.8431857843,3251360.589029545,bilateral,2607230.567609433,496677423.12959695,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,43,288.1,-1230.15,-1230.15,5485722.274844898,8983111.342872124,3275936.9679798884,6129524.155426007,6209320.501711142,4216503.394996654,2323202.9891747455,bilateral,-643801.8805811089,-122644258.25070159,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,44,294.8,-1223.45,-1223.45,5664891.0040395735,11170078.038032662,4637861.314204835,7903969.676118748,7063524.3081459915,5172970.820477921,6246594.807330975,bilateral,-2239078.672079175,-426544487.0310826,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,45,301.5,-1216.75,-1216.75,4728471.214473875,5319494.976507309,4741877.2173415115,5030686.096924411,4130427.621625732,3381091.5984629095,4202915.200065277,bilateral,-302214.8824505359,-57571935.10682713,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,46,308.2,-1210.05,-1210.05,5736298.864184826,5081580.097751893,3169294.1071938025,4125437.102472848,3728473.9475173936,2730296.387067485,3470008.7732514828,bilateral,1610861.761711978,306869165.60613173,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,47,314.90000000000003,-1203.35,-1203.35,8513508.278665312,8267528.8331841575,4608003.43434898,6437766.13376657,4871980.231124963,4949169.095154262,3731633.393284095,bilateral,2075742.1448987415,395428878.60321003,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,48,321.6,-1196.65,-1196.65,4363205.587528486,8131286.587480349,2548939.453217863,5340113.020349106,4028796.45018368,5094424.600275261,4468510.477278183,bilateral,-976907.43282062,-186100865.95232818,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,49,328.3,-1189.95,-1189.95,6388276.260881095,7035389.448582634,4003923.911230245,5519656.67990644,4997815.045863945,4611238.912954039,4553160.7860606015,bilateral,868619.5809746552,165472030.1756717,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,50,335.0,-1183.25,-1183.25,6822869.107972654,5335962.676519779,4893147.439139941,5114555.057829861,4616147.215126346,2542849.312870754,2856523.0552997403,bilateral,1708314.050142793,325433826.55220205,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,51,341.7,-1176.55,-1176.55,8665055.371367091,6693164.606114259,2978368.7959628855,4835766.701038572,4753693.445424157,2090764.7170833016,2291763.2563336776,bilateral,3829288.6703285193,729479491.6975828,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,52,348.40000000000003,-1169.85,-1169.85,5745195.555438327,2930361.401582068,4730250.934679626,3830306.168130846,5401944.789799262,1802874.0213700067,1930745.9617762521,bilateral,1914889.3873074804,364786428.28207517,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,53,355.1,-1163.15,-1163.15,6292261.9759284025,5752616.464852324,1540967.8378211798,3646792.151336752,4119243.8260477753,1617151.7334349118,2191568.3855442274,bilateral,2645469.8245916506,503962001.58470976,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,54,361.8,-1156.45,-1156.45,6319864.778747671,7778923.77462958,2166090.8662600713,4972507.320444825,4236424.261968045,5072630.051543401,4424427.116463405,bilateral,1347357.4583028462,256671595.80669224,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,55,368.5,-1149.75,-1149.75,5825396.888396891,2128416.7791012144,6680286.845021937,4404351.812061576,4693569.699357785,2443998.5204969626,2119653.5875985175,bilateral,1421045.0763353147,270709087.0418772,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,56,375.2,-1143.05,-1143.05,3416586.3444615635,4467623.411776276,6971135.612476759,5719379.5121265175,3807884.366721528,5153395.911244691,4428402.418208965,bilateral,-2302793.167664954,-438682098.4401736,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,57,381.90000000000003,-1136.35,-1136.35,3768318.9588008374,1875298.3158138983,2719284.3931820234,2297291.354497961,1292763.7357176216,2236651.017194404,1802602.3912512404,bilateral,1471027.6043028766,280230758.61969805,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,58,388.6,-1129.65,-1129.65,5267905.594760275,6808983.143418294,3920068.8676926754,5364526.005555485,4604710.485637803,4477549.531482091,5323508.409494672,bilateral,-96620.41079520993,-18406188.256487537,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,59,395.3,-1122.95,-1122.95,3466208.020696173,7959963.925468652,6006385.541156179,6983174.733312416,6361755.969009056,4485565.327263368,3705940.070430268,bilateral,-3516966.712616243,-669982158.7533942,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,60,402.0,-1116.25,-1116.25,6466705.546293471,2652605.1173236817,5271901.803211652,3962253.4602676677,3631192.3613700047,2992489.1716651283,3372676.5183665343,bilateral,2504452.0860258033,477098122.3879158,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
flow05,61,408.7,-1109.55,-1109.55,8452187.318228839,12670889.30759932,8521277.177931905,10596083.242765611,10491698.30731364,6902509.399539355,2712106.83911329,bilateral,-2143895.924536772,-408412173.62425506,0.0,5,5,other,valid,flow05_Bscan499,499,5.0
