scan_id,diameter_um,flow_mm_s,grid_scope,region,metric,n,median,min,max,p5,p10,p90,p95,p99,mad
D128_F01_V01,128,1,common_grid,source,sbr,486,0.96120925879501518,0.65230811102060948,1.5958841816383516,0.77097322774220067,0.81136913348631601,1.1233784287613158,1.2006390483751841,1.3162506817496373,0.08489143920995379
D128_F01_V01,128,1,common_grid,source,contrast,486,-0.019778994300907793,-0.21042799866462295,0.22954960234869515,-0.12932258452193429,-0.10413722624828409,0.058104277181257727,0.091173029620933085,0.13653557684163237,0.044436522045142805
D128_F01_V01,128,1,common_grid,source,real_mean,486,38754.615540511004,24186.633051606306,55971.562171469748,32388.327827370798,34067.813673850076,44600.613604817132,46677.31028145177,50667.48027309461,2651.0654745438806
D128_F01_V01,128,1,common_grid,source,bg_mean,486,40220.327620344178,28611.406622888568,53473.959171556315,35052.970140701938,36494.716091542054,45459.786230791578,46944.006564649157,51399.700650063605,2328.1070585108391
D128_F01_V01,128,1,common_grid,source,bg_sd,486,26149.703766048722,17651.755616479368,53300.714389219276,20919.352954167909,22131.230841956858,32739.609675709449,36796.744837123551,46885.280958738324,2457.4629717643493
D128_F01_V01,128,1,common_grid,tail100,sbr,486,0.9343190205922417,0.67304347987604674,1.2542472846260557,0.77561794643793203,0.79949046220657616,1.0768210981081516,1.1252809568699949,1.2044615495984614,0.073570780157830029
D128_F01_V01,128,1,common_grid,tail100,contrast,486,-0.03395566918133712,-0.19542619427211597,0.11278588926779227,-0.12636875421730082,-0.1114257302190254,0.036989747634122536,0.05894547601986401,0.092748942387842301,0.039514285077046518
D128_F01_V01,128,1,common_grid,tail100,real_mean,486,25364.448487396581,18521.016807741882,34742.574271243524,22305.070099831166,22990.624722737724,28491.852001248764,29253.453737309192,30756.933977409091,1538.7478223352791
D128_F01_V01,128,1,common_grid,tail100,bg_mean,486,27286.15337326876,21521.102729957671,36534.003839070763,24050.205015114348,24556.155668683699,30048.289442888585,31228.9871690457,33920.754250028302,1437.5551743375545
D128_F01_V01,128,1,common_grid,tail100,bg_sd,486,16348.85880805182,11733.69000603094,38693.034966437648,13161.237150709514,13705.548985861777,20045.17007383256,22059.933676914006,27873.424362816444,1486.6812629475517
D128_F03_V01,128,3,common_grid,source,sbr,468,0.97201299820797971,0.68588751924101032,1.7195260843629157,0.77298781133258476,0.82072500753657329,1.1481139390169814,1.2123970068436118,1.3583988119389974,0.084371427811702981
