scan_id,diameter_um,flow_mm_s,grid_scope,valid_frames,source_z,source_sbr,source_z_p10,source_z_p90,source_z_gt3,proximal_z,valid_fraction,z_top_jitter,X1_jitter,X4_jitter,background_median,background_mad,background_rcv,background_drift,background_trend_amplitude,negative_control_rho,real_high_rho,real_map_rho,real_peak_rho,real_specificity,real_high_specificity,excess_high_rho,high_source_u,high_tail_depth_um,source_peak_coupling_bin,source_peak_detectability_bin,high_tail_z_median,high_source_z_median,structural_source_sbr
D128_F01_V01,128,1,common_grid,486,3.716380857524102,6.9972494020369504,2.515785156412246,5.3387759712658482,0.74279835390946503,1.8103871101155917,0.97199999999999998,0,2,0.53563827874296521,14571757.464120552,820549.59084401652,0.083486623105057348,-0.12458785884236534,0.17094900724041201,0.028837024318192316,0.28620312867135134,0.091929112213986697,0.3974469161630943,0.093507367803894625,0.27324662539969091,0.21626502393915564,0.41666666666666669,37.5,3,6,2.017565502123964,3.8280445664189129,0.96120925879501518
D128_F03_V01,128,3,common_grid,468,3.6756558928609704,7.0394087415498721,2.2815657462394521,5.1167791978355046,0.72649572649572647,1.6924989401335275,0.93600000000000005,0,2,0.51239902662676684,15065014.445586089,871392.01225501299,0.085756691574086386,-0.080204642294731787,0.22707992726200335,0.065317103170999313,0.23731518684436062,0.075083766205238892,0.27226819156544252,0.075486642044565372,0.23818777261380106,0.096041833112208208,0.41666666666666669,37.5,3,6,1.8005015822591315,3.8418445778063193,0.97201299820797971
D128_F05_V01,128,5,common_grid,491,3.7384090324288888,7.0978936122880611,2.4789677254532672,5.5033873142631702,0.74134419551934827,1.6986007596028097,0.98199999999999998,0,2,0.53704224446840954,14695428.858505433,837546.11952534318,0.084498784537994281,-0.14171047921153548,0.21314614057407064,0.024390988443671706,0.27214389587821936,0.083449765078785293,0.36937402906164096,0.089463746583867174,0.27718907769002771,0.2721066397726532,0.41666666666666669,37.5,3,6,1.8329680610331969,4.2260742466876557,0.96822424999031353
D128_F07_V01,128,7,common_grid,493,2.9059418701300075,5.5969758046104809,1.9310053624947676,4.251894153596103,0.44827586206896552,1.6379110864094388,0.98599999999999999,0,2,0.55798002515564349,15311854.637631029,864599.45052587986,0.083716517409937449,-0.072472348463062997,0.17737185167180525,0.028769875112740553,0.23743746473499283,0.10408307201844857,0.34621805280270024,0.10314152220291388,0.23449586057527361,0.20376116817068562,0.41666666666666669,50,3,6,1.6357883849367496,2.6826157935169603,0.9171512744673771
D128_F10_V01,128,10,common_grid,484,3.7411643802562953,7.4177215149375808,2.5389130618121145,5.6288098782298475,0.77066115702479343,1.8517474745933025,0.96799999999999997,0,2,0.54343933959468416,14490209.729606807,907622.79720808659,0.092865568149179789,-0.14585772978732095,0.17610991609127466,0.025368430854724601,0.2358217035382402,0.09265454587812702,0.29296788240460619,0.094734253893793016,0.24584464802372025,0.18831174011132967,0.41666666666666669,37.5,3,6,1.9590926714940444,4.1404167006501851,0.969328676214396
D235_F01_V01,235,1,common_grid,448,4.8505652471754477,8.2196279208064773,3.8817372069561,5.8336120397865194,0.984375,1.1238477231301771,0.89600000000000002,0,2,0.42743050096129309,14730006.673987243,438948.52330255974,0.044180908743079006,-0.076693868354200931,0.11106893549841274,0.019516630712154627,0.2207796190187995,0.034554077742993065,0.23213723931165803,0.042475141570000742,0.21363423868940012,0.18733410492352956,0.75,37.5,4,2,1.2978795669652041,3.1125948145019358,0.86875260441924651
D235_F03_V01,235,3,common_grid,448,4.6559700088551974,8.0684805086129163,3.781502498694584,5.6607030513777428,0.9933035714285714,1.0416163924533812,0.89600000000000002,0,2,0.34115214020238227,15557117.16806785,626619.02318247035,0.059717064140728124,-0.084136711057261518,0.12614555142014336,0.02954042359758402,0.21024481468851758,0.025842235415601079,0.22432628374967811,0.02680620672284648,0.21406684114542457,0.15570879723134423,0.66666666666666674,50,4,2,1.0839829201043722,3.6751501078035229,0.86921685005957317
D235_F05_V01,235,5,common_grid,424,4.7871196935209106,8.296808914100108,3.9243242932273672,5.7999209557458311,0.99764150943396224,1.0708674021938367,0.84799999999999998,0,2,0.36043348903655215,15129131.276234765,501796.2285319902,0.049174210656111182,-0.050447204897085512,0.10429121759579453,0.018630915038949265,0.1685246583282374,0.024175229032889555,0.2207322100846392,0.025618776450501354,0.16701620413694743,0.148687971507004,0.75,37.5,3,2,1.2385030821785921,3.0472398109529779,0.86889842876439283
D235_F07_V01,235,7,common_grid,444,4.8408946218890652,8.45635212237252,3.962004871922006,5.9184268246591927,0.99549549549549554,1.1185088689000819,0.88800000000000001,0,2,0.33107406158735841,14773476.851077542,497471.34346683975,0.049923996988572215,-0.064468829899141517,0.1072494751906839,0.016512769515425959,0.18275816164235456,0.040745196909188895,0.26269586618638679,0.0361632173235601,0.18716863344859128,0.18170312872263703,0.41666666666666669,62.5,3,2,0.99768052339454583,6.6193777063110222,0.87209196936025357
D235_F10_V01,235,10,common_grid,461,4.8865904153933659,8.5036626425287878,3.7022290928290444,5.9728946110805206,0.98915401301518435,1.1204383304499597,0.92200000000000004,0,2,0.36204744951518819,15223581.704789585,576495.21091369912,0.056143936182360035,-0.032526102264290029,0.10052106735008705,0.042918220632360948,0.2451767240866089,0.033045372510891194,0.37670050167512942,0.023520502550876701,0.19267155356713606,0.12051938665532491,0.58333333333333337,25,3,2,1.4573076936920739,4.2154962399568827,0.8890968332625302
