diameter,predictor,outcome,n_volumes,spearman,interpretation
500,source_z,real_peak_rho,5,0.70000000000000007,descriptive n=5; no p-value
500,source_z,real_specificity,5,0.89999999999999991,descriptive n=5; no p-value
500,proximal_z,real_high_rho,5,0,descriptive n=5; no p-value
500,proximal_z,real_map_rho,5,0.20000000000000001,descriptive n=5; no p-value
500,proximal_z,real_peak_rho,5,0.69999999999999996,descriptive n=5; no p-value
500,proximal_z,real_specificity,5,0.60000000000000009,descriptive n=5; no p-value
500,background_rcv,real_high_rho,5,0.50000000000000011,descriptive n=5; no p-value
500,background_rcv,real_map_rho,5,0.20000000000000004,descriptive n=5; no p-value
500,background_rcv,real_peak_rho,5,-0.30000000000000004,descriptive n=5; no p-value
500,background_rcv,real_specificity,5,0.10000000000000003,descriptive n=5; no p-value
500,z_top_jitter,real_high_rho,5,,descriptive n=5; no p-value
500,z_top_jitter,real_map_rho,5,,descriptive n=5; no p-value
500,z_top_jitter,real_peak_rho,5,,descriptive n=5; no p-value
500,z_top_jitter,real_specificity,5,,descriptive n=5; no p-value
500,X1_jitter,real_high_rho,5,,descriptive n=5; no p-value
500,X1_jitter,real_map_rho,5,,descriptive n=5; no p-value
500,X1_jitter,real_peak_rho,5,,descriptive n=5; no p-value
500,X1_jitter,real_specificity,5,,descriptive n=5; no p-value
500,valid_fraction,real_high_rho,5,0.46169025843831935,descriptive n=5; no p-value
500,valid_fraction,real_map_rho,5,0.56428809364683474,descriptive n=5; no p-value
500,valid_fraction,real_peak_rho,5,0.56428809364683474,descriptive n=5; no p-value
500,valid_fraction,real_specificity,5,0.82078268166812329,descriptive n=5; no p-value
500,negative_control_rho,real_high_rho,5,0.50000000000000011,descriptive n=5; no p-value
500,negative_control_rho,real_map_rho,5,0.20000000000000004,descriptive n=5; no p-value
500,negative_control_rho,real_peak_rho,5,-0.30000000000000004,descriptive n=5; no p-value
500,negative_control_rho,real_specificity,5,0.10000000000000003,descriptive n=5; no p-value
pooled_20,source_z,real_high_rho,20,0.45563909774436084,potentially confounded by diameter; exploratory only
pooled_20,source_z,real_map_rho,20,0.17443609022556389,potentially confounded by diameter; exploratory only
pooled_20,source_z,real_peak_rho,20,0.42406015037593986,potentially confounded by diameter; exploratory only
pooled_20,source_z,real_specificity,20,0.13082706766917288,potentially confounded by diameter; exploratory only
pooled_20,proximal_z,real_high_rho,20,0.91879699248120295,potentially confounded by diameter; exploratory only
pooled_20,proximal_z,real_map_rho,20,0.76240601503759386,potentially confounded by diameter; exploratory only
pooled_20,proximal_z,real_peak_rho,20,0.82255639097744349,potentially confounded by diameter; exploratory only
pooled_20,proximal_z,real_specificity,20,0.75488721804511272,potentially confounded by diameter; exploratory only
pooled_20,background_rcv,real_high_rho,20,0.31278195488721805,potentially confounded by diameter; exploratory only
pooled_20,background_rcv,real_map_rho,20,0.47368421052631576,potentially confounded by diameter; exploratory only
pooled_20,background_rcv,real_peak_rho,20,0.27819548872180455,potentially confounded by diameter; exploratory only
pooled_20,background_rcv,real_specificity,20,0.41654135338345866,potentially confounded by diameter; exploratory only
pooled_20,z_top_jitter,real_high_rho,20,,potentially confounded by diameter; exploratory only
pooled_20,z_top_jitter,real_map_rho,20,,potentially confounded by diameter; exploratory only
