scan_id,diameter_um,flow_mm_s,grid_scope,mode,tail_bin,side,rho,n_pairs
D128_F01_V01,128,1,common_grid,detrended_51,5,right,0.067263534936923011,486
D128_F01_V01,128,1,common_grid,detrended_51,6,bg,0.027186189883875691,486
D128_F01_V01,128,1,common_grid,detrended_51,6,left,0.057901985190951064,486
D128_F01_V01,128,1,common_grid,detrended_51,6,right,0.012209225684501444,486
D128_F01_V01,128,1,common_grid,detrended_51,7,bg,0.062420913645422051,486
D128_F01_V01,128,1,common_grid,detrended_51,7,left,0.080157105253254285,486
D128_F01_V01,128,1,common_grid,detrended_51,7,right,-0.0009505655972455976,486
D128_F01_V01,128,1,common_grid,detrended_51,8,bg,0.027144433989177413,486
D128_F01_V01,128,1,common_grid,detrended_51,8,left,0.039928501136011478,486
D128_F01_V01,128,1,common_grid,detrended_51,8,right,-0.0099830818036030899,486
D128_F01_V01,128,1,common_grid,detrended_51,9,bg,0.0063599480654158167,486
D128_F01_V01,128,1,common_grid,detrended_51,9,left,-0.037980217125470381,486
D128_F01_V01,128,1,common_grid,detrended_51,9,right,0.032507777643039644,486
D128_F01_V01,128,1,common_grid,detrended_51,10,bg,0.024718082993103213,486
D128_F01_V01,128,1,common_grid,detrended_51,10,left,0.050528641266738429,486
D128_F01_V01,128,1,common_grid,detrended_51,10,right,-0.010389788919118733,486
D128_F01_V01,128,1,common_grid,detrended_51,11,bg,0.033273047985941308,486
D128_F01_V01,128,1,common_grid,detrended_51,11,left,0.011163371492394845,486
D128_F01_V01,128,1,common_grid,detrended_51,11,right,0.006721797251778119,486
D128_F01_V01,128,1,common_grid,detrended_51,12,bg,0.042744395337087321,486
D128_F01_V01,128,1,common_grid,detrended_51,12,left,0.055652930042959861,486
D128_F01_V01,128,1,common_grid,detrended_51,12,right,-0.029222557564573478,486
D128_F01_V01,128,1,common_grid,detrended_51,13,bg,0.021408504180751999,486
D128_F01_V01,128,1,common_grid,detrended_51,13,left,0.030210827710101584,486
D128_F01_V01,128,1,common_grid,detrended_51,13,right,0.024313263062820917,486
D128_F01_V01,128,1,common_grid,detrended_51,14,bg,0.049381667437488078,486
D128_F01_V01,128,1,common_grid,detrended_51,14,left,0.048956598245154748,486
D128_F01_V01,128,1,common_grid,detrended_51,14,right,0.0048625930667413253,486
D128_F01_V01,128,1,common_grid,detrended_51,15,bg,-0.037672871744421098,486
D128_F01_V01,128,1,common_grid,detrended_51,15,left,-0.034410418302142587,486
D128_F01_V01,128,1,common_grid,detrended_51,15,right,-0.024626807590560844,486
D128_F01_V01,128,1,common_grid,detrended_51,16,bg,0.058648214285485452,486
D128_F01_V01,128,1,common_grid,detrended_51,16,left,0.021916709708124881,486
D128_F01_V01,128,1,common_grid,detrended_51,16,right,0.037245419276440601,486
D128_F01_V01,128,1,common_grid,detrended_51,17,bg,0.0077940393855080317,486
D128_F01_V01,128,1,common_grid,detrended_51,17,left,0.086751140511902733,486
D128_F01_V01,128,1,common_grid,detrended_51,17,right,-0.037017228021407562,486
D128_F01_V01,128,1,common_grid,detrended_51,18,bg,0.01240192824683516,486
D128_F01_V01,128,1,common_grid,detrended_51,18,left,0.0018832551670932918,486
D128_F01_V01,128,1,common_grid,detrended_51,18,right,0.0051290260237270794,486
D128_F01_V01,128,1,common_grid,detrended_51,19,bg,-0.026020108949612476,486
D128_F01_V01,128,1,common_grid,detrended_51,19,left,0.0074958487286306543,486
D128_F01_V01,128,1,common_grid,detrended_51,19,right,-0.033306505382560588,486
D128_F01_V01,128,1,common_grid,detrended_51,20,bg,0.014411280055702252,486
D128_F01_V01,128,1,common_grid,detrended_51,20,left,0.005684107924825676,486
D128_F01_V01,128,1,common_grid,detrended_51,20,right,-0.014939355127979441,486
D128_F03_V01,128,3,common_grid,raw,1,bg,0.05147193884449789,468
D128_F03_V01,128,3,common_grid,raw,1,left,0.095223461486365374,468
D128_F03_V01,128,3,common_grid,raw,1,right,0.012205368432796598,468
D128_F03_V01,128,3,common_grid,raw,2,bg,0.067326379608651316,468
D128_F03_V01,128,3,common_grid,raw,2,left,0.042398661561945765,468
D128_F03_V01,128,3,common_grid,raw,2,right,0.070876059498258995,468
D128_F03_V01,128,3,common_grid,raw,3,bg,0.063644878883461112,468
D128_F03_V01,128,3,common_grid,raw,3,left,0.027611899324002605,468
D128_F03_V01,128,3,common_grid,raw,3,right,0.07126906353471596,468
D128_F03_V01,128,3,common_grid,raw,4,bg,0.11000401901357507,468
D128_F03_V01,128,3,common_grid,raw,4,left,0.10529897515739182,468
D128_F03_V01,128,3,common_grid,raw,4,right,0.086385846141670872,468
D128_F03_V01,128,3,common_grid,raw,5,bg,0.086173129926525677,468
D128_F03_V01,128,3,common_grid,raw,5,left,0.067299687645496084,468
D128_F03_V01,128,3,common_grid,raw,5,right,0.091779612889268031,468
D128_F03_V01,128,3,common_grid,raw,6,bg,0.2017941682040886,468
D128_F03_V01,128,3,common_grid,raw,6,left,0.15366949519527104,468
D128_F03_V01,128,3,common_grid,raw,6,right,0.15753034718166231,468
D128_F03_V01,128,3,common_grid,raw,7,bg,0.13615102125441217,468
D128_F03_V01,128,3,common_grid,raw,7,left,0.02520821779986341,468
D128_F03_V01,128,3,common_grid,raw,7,right,0.18482334778796791,468
D128_F03_V01,128,3,common_grid,raw,8,bg,0.17097759432126139,468
D128_F03_V01,128,3,common_grid,raw,8,left,0.13838799507884489,468
D128_F03_V01,128,3,common_grid,raw,8,right,0.15714682581632625,468
D128_F03_V01,128,3,common_grid,raw,9,bg,0.10024681871017641,468
D128_F03_V01,128,3,common_grid,raw,9,left,0.12593443821670988,468
D128_F03_V01,128,3,common_grid,raw,9,right,0.026627691717659441,468
D128_F03_V01,128,3,common_grid,raw,10,bg,0.14926180917423842,468
D128_F03_V01,128,3,common_grid,raw,10,left,0.12089738380127969,468
D128_F03_V01,128,3,common_grid,raw,10,right,0.067286692873959997,468
