scan_id,diameter_um,flow_mm_s,grid_scope,region,side,pixel_statistic,n_valid,mean,sd,mad,p5,p50,p95,cv,rcv,dynamic_range,first_block_median,last_block_median,first_to_last_difference,first_to_last_relative,linear_slope_per_frame,trend_amplitude,trend_amplitude_relative,residual_mad
D128_F01_V01,128,1,common_grid,source,bg,mean,486,21485377.829732779,2047733.4281549735,1096125.1566198766,19101177.645407304,21164497.497079238,24542723.821665097,0.095308234483137397,0.076784962998951406,0.25710727018247148,23450612.369538572,20040665.344671205,-3409947.024867367,-0.16111637072120183,-7077.8961856472633,3846920.4160970636,0.18176289877082835,815183.72666374408
D128_F01_V01,128,1,common_grid,source,bg,median,486,14716973.417198887,1386567.2331062516,820549.59084401652,12669826.668419797,14571757.464120552,16965526.457837977,0.094215515228548929,0.083486623105057348,0.29479627285832249,15688129.935121322,13872665.873096287,-1815464.0620250348,-0.12458785884236534,-4225.4860071127614,2491027.472239472,0.17094900724041201,760271.88405364566
D128_F01_V01,128,1,common_grid,source,left,mean,486,21421281.872057475,2351322.0343531049,1289256.2058969717,18409429.823770866,21121701.443708967,25342775.164167408,0.10976570162312442,0.090497030078614704,0.3282569521624224,23208402.467669658,19749727.377358846,-3458675.090310812,-0.16374983329484413,-6947.7143683992026,4065926.727777455,0.19249996211779988,1044592.8001800887
D128_F01_V01,128,1,common_grid,source,left,median,486,14753240.362898376,1807029.6499265814,1096957.6789711192,12119421.607027994,14605853.602496427,17640902.422605339,0.12248357686023478,0.11134915487339996,0.37803205248022037,15991016.261200013,13545468.420794727,-2445547.8404052854,-0.16743614628502734,-4474.7458453555655,3353657.2216970883,0.22961049131177672,1026049.2916413099
D128_F01_V01,128,1,common_grid,source,right,mean,486,21549473.787408091,2694808.37741837,1367226.1777347941,18483117.801568031,21334797.814200394,25181532.830354068,0.12505216619224435,0.095011424470139855,0.31396665143588037,23492461.007084012,20486319.009972312,-3006141.9971117005,-0.14090323345416561,-7208.0780028953359,4109826.2466596514,0.19263488140132082,1188919.7388414051
D128_F01_V01,128,1,common_grid,source,right,median,486,14759317.17261252,1750219.5450648721,1086098.5820418335,12229849.093822056,14629402.849337593,17767153.397106197,0.11858404590102517,0.11006941119323493,0.37850514886428632,16263578.205762565,14193633.976858919,-2069944.2289036456,-0.14149205201478002,-4338.08174692583,2430217.5015832279,0.1661187080984147,1055692.1866646064
D128_F01_V01,128,1,common_grid,s1,bg,mean,486,21287155.101736642,3578371.1895614024,2197418.6558586136,16251306.016601844,20823096.367986444,27226889.386349246,0.16810001958737422,0.15645573749467367,0.52708699877225418,23179360.180733357,19472316.249666758,-3707043.9310665987,-0.17802558589537293,-8431.9848982147469,5226842.9020999894,0.25101180005754425,1935172.2821397297
D128_F01_V01,128,1,common_grid,s1,bg,median,486,14782085.914130585,3170001.2956941091,2091451.024452921,10049280.145655433,14416282.522330858,20174439.440101653,0.21444884802515057,0.21508910386923788,0.70234190255097484,16205317.309455803,13553220.479170099,-2652096.8302857038,-0.1839653756908273,-6449.4439417298081,4861607.9203806575,0.33723034442825428,1806127.1114536878
D128_F01_V01,128,1,common_grid,s1,left,mean,486,21250372.440910887,4565376.4088132838,3028566.3601213638,15117183.642864123,20749374.483261961,29498715.267739404,0.21483747739047115,0.21639941431188855,0.69310675540973676,22229810.939705987,19269393.95187255,-2960416.9878334366,-0.14267499920161622,-8105.8293412160901,5305874.9417819344,0.25571252502392594,2902952.6909324788
D128_F01_V01,128,1,common_grid,s1,left,median,486,15087586.529504554,4316612.6690991689,2920331.9774130825,8815882.5563915707,14652359.746466966,23058944.688744973,0.28610358990537088,0.29549398626774959,0.97206609575551439,16127835.732010931,13850951.221458979,-2276884.5105519518,-0.15539370790435056,-4783.4945742872742,4255447.1656891145,0.29042742870923605,2761778.1717424504
D128_F01_V01,128,1,common_grid,s1,right,mean,486,21323937.762562402,5172100.0110946959,3052981.4157061968,14596685.003717851,20414494.881113492,29444165.274534322,0.24254901081990346,0.22172237291619537,0.72730088876960874,23219345.64769857,19782572.465623606,-3436773.182074964,-0.1683496555799919,-8758.1404552134081,7599489.2693046108,0.37225948099922335,2870359.0715115964
D128_F01_V01,128,1,common_grid,s1,right,median,486,14923899.633214151,4738901.3278340176,2761846.3584088078,8572213.1251929235,14589086.627268884,22959859.029083408,0.31753773774297378,0.28066962076456187,0.98619236909582253,16019101.791454265,12814034.315746728,-3205067.4757075366,-0.2196893854696052,-7730.4562116584002,6475132.5258415248,0.44383398983584532,2627543.3988343989
D128_F01_V01,128,1,common_grid,s2,bg,mean,486,21368992.747587994,3614882.5365785011,1733097.0976373423,17328726.69466392,20985520.917469993,26231167.176556654,0.16916485392071312,0.12244107578087703,0.42421822726743202,22859040.871385586,19793535.824127786,-3065505.0472577997,-0.14607714811147876,-7415.1290030385589,4621852.7147361375,0.220240075665148,1606066.817318799
D128_F01_V01,128,1,common_grid,s2,bg,median,486,14772106.932338538,2440883.5788243008,1607495.952122028,11117847.288275441,14544892.261011027,19135134.459261507,0.16523598089320696,0.16385638723531221,0.55120980115316287,15445006.132974386,13932428.033803888,-1512578.0991704985,-0.10399376441069341,-4664.6333118761686,2450174.4878661539,0.16845600805404937,1543337.8910805108
D128_F01_V01,128,1,common_grid,s2,left,mean,486,21237628.083098795,3806227.2998004174,2173711.8459078781,16061168.982106589,20867200.963330351,28067616.789253961,0.17922092264293238,0.15444070282383854,0.57537413993597608,21885362.937200885,19473181.819581077,-2412181.1176198088,-0.11559677418445828,-6316.5827810653609,4300313.9708907977,0.2060800573324463,2261211.7259402499
D128_F01_V01,128,1,common_grid,s2,left,median,486,14845266.584749045,3624101.9831520929,2246158.9085769253,9419109.1539824903,14440062.821432581,21137561.418967944,0.24412508609816638,0.2306191627444574,0.81152363461967814,15113841.591685578,13626677.268088045,-1487164.3235975336,-0.10298877103153724,-4875.3788387377999,3805758.2298739552,0.263555517516536,2292395.9315803461
D128_F01_V01,128,1,common_grid,s2,right,mean,486,21500357.412077185,6007571.6478589466,2329888.0441635679,16087379.375517026,20868517.894262426,28081386.440692533,0.27941729212763561,0.16552646583620709,0.57474168151026817,23330137.182143804,20068852.863808349,-3261284.3183354549,-0.15627771626427336,-8513.6752250117206,5365009.4801256843,0.25708627260016081,2256733.6358176693
