diameter_um,metric,volume_values,n,median,min,max,p5,p10,p90,p95,p99,mad
128,valid_frames,"{""D128_F01_V01"": 486, ""D128_F03_V01"": 468, ""D128_F05_V01"": 491, ""D128_F07_V01"": 493, ""D128_F10_V01"": 484}",5,486,468,493,471.19999999999999,474.39999999999998,492.19999999999999,492.60000000000002,492.92000000000002,5
128,source_z,"{""D128_F01_V01"": 3.716380857524102, ""D128_F03_V01"": 3.6756558928609704, ""D128_F05_V01"": 3.738409032428889, ""D128_F07_V01"": 2.9059418701300075, ""D128_F10_V01"": 3.7411643802562953}",5,3.716380857524102,2.9059418701300075,3.7411643802562953,3.0598846746762001,3.2138274792223926,3.7400622411253326,3.7406133106908142,3.7410541663431989,0.024783522732193308
128,source_sbr,"{""D128_F01_V01"": 6.9972494020369504, ""D128_F03_V01"": 7.039408741549872, ""D128_F05_V01"": 7.097893612288061, ""D128_F07_V01"": 5.596975804610481, ""D128_F10_V01"": 7.417721514937581}",5,7.0394087415498721,5.5969758046104809,7.4177215149375808,5.8770305240957752,6.1570852435810686,7.2897903538777733,7.3537559344076771,7.4049283988315997,0.058484870738189088
128,source_z_p10,"{""D128_F01_V01"": 2.515785156412246, ""D128_F03_V01"": 2.281565746239452, ""D128_F05_V01"": 2.478967725453267, ""D128_F07_V01"": 1.9310053624947676, ""D128_F10_V01"": 2.5389130618121145}",5,2.4789677254532672,1.9310053624947676,2.5389130618121145,2.0011174392437043,2.0712295159926413,2.5296618996521669,2.5342874807321407,2.5379879455961198,0.059945336358847356
128,source_z_p90,"{""D128_F01_V01"": 5.338775971265848, ""D128_F03_V01"": 5.116779197835505, ""D128_F05_V01"": 5.50338731426317, ""D128_F07_V01"": 4.251894153596103, ""D128_F10_V01"": 5.6288098782298475}",5,5.3387759712658482,4.251894153596103,5.6288098782298475,4.4248711624439832,4.5978481712918633,5.5786408526431766,5.603725365436512,5.6237929756711802,0.22199677343034363
128,source_z_gt3,"{""D128_F01_V01"": 0.742798353909465, ""D128_F03_V01"": 0.7264957264957265, ""D128_F05_V01"": 0.7413441955193483, ""D128_F07_V01"": 0.4482758620689655, ""D128_F10_V01"": 0.7706611570247934}",5,0.74134419551934827,0.44827586206896552,0.77066115702479343,0.50391983495431769,0.55956380783966986,0.75951603577866211,0.76508859640172777,0.76954664490018032,0.014848469023621802
128,proximal_z,"{""D128_F01_V01"": 1.8103871101155917, ""D128_F03_V01"": 1.6924989401335275, ""D128_F05_V01"": 1.6986007596028097, ""D128_F07_V01"": 1.6379110864094388, ""D128_F10_V01"": 1.8517474745933025}",5,1.6986007596028097,1.6379110864094388,1.8517474745933025,1.6488286571542565,1.6597462278990742,1.8352033288022183,1.8434754016977604,1.850093060014194,0.060689673193370819
128,valid_fraction,"{""D128_F01_V01"": 0.972, ""D128_F03_V01"": 0.936, ""D128_F05_V01"": 0.982, ""D128_F07_V01"": 0.986, ""D128_F10_V01"": 0.968}",5,0.97199999999999998,0.93600000000000005,0.98599999999999999,0.94240000000000002,0.94879999999999998,0.98439999999999994,0.98519999999999996,0.98583999999999994,0.010000000000000009
128,z_top_jitter,"{""D128_F01_V01"": 0.0, ""D128_F03_V01"": 0.0, ""D128_F05_V01"": 0.0, ""D128_F07_V01"": 0.0, ""D128_F10_V01"": 0.0}",5,0,0,0,0,0,0,0,0,0
128,X1_jitter,"{""D128_F01_V01"": 2.0, ""D128_F03_V01"": 2.0, ""D128_F05_V01"": 2.0, ""D128_F07_V01"": 2.0, ""D128_F10_V01"": 2.0}",5,2,2,2,2,2,2,2,2,0
