reference_diameter,metric,d500_median,reference_median,d500_min,d500_max,reference_min,reference_max,matched_difference_median,n_d500_lower,n_d500_higher,five_flow_d500,five_flow_reference
128,source_z,1.5155505414394719,3.716380857524102,1.3301931438029575,1.5909626135058921,2.9059418701300075,3.7411643802562953,-2.1392663957225633,5,0,"{""1"": 1.590962613505892, ""3"": 1.5363894971384073, ""5"": 1.3784992966552716, ""7"": 1.3301931438029575, ""10"": 1.5155505414394719}","{""1"": 3.716380857524102, ""3"": 3.6756558928609704, ""5"": 3.738409032428889, ""7"": 2.9059418701300075, ""10"": 3.7411643802562953}"
128,proximal_z,0.25777685327225108,1.6986007596028097,0.23032317359118581,0.27246734460891187,1.6379110864094388,1.8517474745933025,-1.4559507159775569,5,0,"{""1"": 0.26711223400184214, ""3"": 0.2577768532722511, ""5"": 0.24265004362525272, ""7"": 0.23032317359118581, ""10"": 0.27246734460891187}","{""1"": 1.8103871101155917, ""3"": 1.6924989401335275, ""5"": 1.6986007596028097, ""7"": 1.6379110864094388, ""10"": 1.8517474745933025}"
128,background_rcv,0.060020076668291053,0.084498784537994281,0.056593556982072843,0.072701366833424,0.083486623105057348,0.092865568149179789,-0.024416706380441772,5,0,"{""1"": 0.06002007666829105, ""3"": 0.05808074177968072, ""5"": 0.05659355698207284, ""7"": 0.072701366833424, ""10"": 0.06844886176873802}","{""1"": 0.08348662310505735, ""3"": 0.08575669157408639, ""5"": 0.08449878453799428, ""7"": 0.08371651740993745, ""10"": 0.09286556814917979}"
128,z_top_jitter,0,0,0,0,0,0,0,0,0,"{""1"": 0.0, ""3"": 0.0, ""5"": 0.0, ""7"": 0.0, ""10"": 0.0}","{""1"": 0.0, ""3"": 0.0, ""5"": 0.0, ""7"": 0.0, ""10"": 0.0}"
128,X1_jitter,2,2,2,2,2,2,0,0,0,"{""1"": 2.0, ""3"": 2.0, ""5"": 2.0, ""7"": 2.0, ""10"": 2.0}","{""1"": 2.0, ""3"": 2.0, ""5"": 2.0, ""7"": 2.0, ""10"": 2.0}"
128,valid_fraction,0.97999999999999998,0.97199999999999998,0.94199999999999995,1,0.93600000000000005,0.98599999999999999,0.028000000000000025,2,3,"{""1"": 1.0, ""3"": 0.98, ""5"": 0.942, ""7"": 0.954, ""10"": 1.0}","{""1"": 0.972, ""3"": 0.936, ""5"": 0.982, ""7"": 0.986, ""10"": 0.968}"
128,negative_control_rho,0.023167419749653237,0.028769875112740553,0.012220255710922872,0.049251005909581952,0.024390988443671706,0.065317103170999313,-0.0056696045685390786,3,2,"{""1"": 0.023167419749653237, ""3"": 0.022555018132483763, ""5"": 0.012220255710922872, ""7"": 0.04925100590958195, ""10"": 0.027300303483956827}","{""1"": 0.028837024318192316, ""3"": 0.06531710317099931, ""5"": 0.024390988443671706, ""7"": 0.028769875112740553, ""10"": 0.0253684308547246}"
128,X4_jitter,0.77024913124233763,0.53704224446840954,0.74376644705094463,0.86322228532520739,0.51239902662676684,0.55798002515564349,0.2469449999126283,0,5,"{""1"": 0.8108907315494776, ""3"": 0.7593440265393951, ""5"": 0.7437664470509446, ""7"": 0.8632222853252074, ""10"": 0.7702491312423376}","{""1"": 0.5356382787429652, ""3"": 0.5123990266267668, ""5"": 0.5370422444684095, ""7"": 0.5579800251556435, ""10"": 0.5434393395946842}"
128,background_drift,-0.15117408796049092,-0.12458785884236534,-0.20280621080725464,-0.14540133791473506,-0.14585772978732095,-0.072472348463062997,-0.03819165347899553,4,1,"{""1"": -0.16277951232136087, ""3"": -0.15117408796049092, ""5"": -0.14791933971308469, ""7"": -0.20280621080725464, ""10"": -0.14540133791473506}","{""1"": -0.12458785884236534, ""3"": -0.08020464229473179, ""5"": -0.14171047921153548, ""7"": -0.072472348463063, ""10"": -0.14585772978732095}"
128,real_high_rho,0.11689055341354292,0.23743746473499283,0.11552683215072664,0.14756662209076354,0.2358217035382402,0.28620312867135134,-0.1204246334308177,5,0,"{""1"": 0.14756662209076354, ""3"": 0.11689055341354292, ""5"": 0.11552683215072664, ""7"": 0.12957288537737885, ""10"": 0.11675241850700249}","{""1"": 0.28620312867135134, ""3"": 0.23731518684436062, ""5"": 0.27214389587821936, ""7"": 0.23743746473499283, ""10"": 0.2358217035382402}"
